[2014-06-28 22:01:14] EDIT RegressionReport/models/db.py: 0
[2014-06-28 22:02:16] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-28 22:02:31] EDIT RegressionReport/models/db.py: 0
[2014-06-28 22:05:55] EDIT RegressionReport/models/db.py: 0
[2014-06-28 22:14:29] EDIT RegressionReport/controllers/default.py: 1
[2014-06-28 23:12:08] EDIT RegressionReport/controllers/default.py: 1
[2014-06-28 23:25:12] EDIT RegressionReport/models/db.py: 0
[2014-06-28 23:35:03] EDIT RegressionReport/models/db.py: 0
[2014-06-28 23:37:05] EDIT RegressionReport/controllers/default.py: 0
[2014-06-28 23:37:27] EDIT RegressionReport/controllers/default.py: 0
[2014-06-28 23:38:34] EDIT RegressionReport/views/default/index.html: 1
[2014-06-28 23:52:06] EDIT RegressionReport/views/default/index.html: 1
[2014-06-28 23:52:48] EDIT RegressionReport/views/default/index.html: 0
[2014-06-29 21:53:31] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-29 22:28:45] EDIT RegressionReport/modules/loadxls/load.py: 10
[2014-06-29 22:35:37] EDIT RegressionReport/modules/loadxls/load.py: 6
[2014-06-29 22:36:04] EDIT RegressionReport/modules/loadxls/load.py: -2
[2014-06-29 22:39:49] EDIT RegressionReport/models/db.py: -4
[2014-06-29 22:46:39] EDIT RegressionReport/models/db.py: 4
[2014-06-29 22:47:04] EDIT RegressionReport/models/db.py: 0
[2014-06-29 22:48:50] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-29 23:01:09] EDIT RegressionReport/modules/loadxls/load.py: -5
[2014-06-29 23:04:28] EDIT RegressionReport/modules/loadxls/load.py: -6
[2014-06-29 23:04:30] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-29 23:05:16] EDIT RegressionReport/models/db.py: 0
[2014-06-29 23:07:55] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-29 23:10:34] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-29 23:10:50] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-29 23:11:00] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-29 23:12:02] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-30 20:53:42] EDIT RegressionReport/models/db.py: 0
[2014-06-30 20:56:40] EDIT RegressionReport/modules/loadxls/load.py: 3
[2014-06-30 21:02:17] EDIT RegressionReport/modules/loadxls/load.py: 15
[2014-06-30 21:02:31] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-30 21:06:58] EDIT RegressionReport/controllers/default.py: 0
[2014-06-30 21:07:44] EDIT RegressionReport/controllers/default.py: 0
[2014-07-01 21:32:22] EDIT RegressionReport/modules/loadxls/load.py: -18
[2014-07-01 21:33:19] EDIT RegressionReport/models/db.py: 0
[2014-07-01 21:37:33] EDIT RegressionReport/models/db.py: 0
[2014-07-01 21:41:29] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-01 21:42:38] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-01 21:44:52] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-01 21:44:53] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-01 21:46:24] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-01 21:49:23] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-01 21:54:11] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 13:35:15] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 13:37:45] EDIT RegressionReport/modules/loadxls/load.py: 4
[2014-07-02 13:38:17] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 13:43:43] EDIT RegressionReport/modules/loadxls/load.py: 4
[2014-07-02 13:43:58] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 13:44:14] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 13:44:57] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 13:45:32] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 14:07:11] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 14:07:17] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 14:08:01] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 14:17:38] EDIT RegressionReport/modules/loadxls/load.py: -2
[2014-07-02 14:25:13] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 14:25:57] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 14:29:43] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 14:29:44] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 14:47:09] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 14:51:34] EDIT RegressionReport/modules/loadxls/load.py: -3
[2014-07-02 15:02:02] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 15:53:47] EDIT RegressionReport/controllers/default.py: 0
[2014-07-02 16:05:07] EDIT RegressionReport/controllers/default.py: 0
[2014-07-02 16:06:12] EDIT RegressionReport/controllers/default.py: 0
[2014-07-02 16:10:34] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 16:11:08] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 16:11:46] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-07-02 16:12:30] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 16:15:44] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-07-02 16:17:02] EDIT RegressionReport/modules/loadxls/load.py: 0
